standard_whisky_name,nose,palate,finish,source_url,sweetness,smoky,fruity,spicy,body,tagline,menthol,abv,data_source
Limavady Single Malt Irish Whiskey,"잘 익은 과일 향과 함께 구운 곡물, 바닐라, 그리고 은은한 셰리 통의 너티함이 감돕니다.","크리미한 질감 속에서 꿀, 바닐라, 구운 사과, 그리고 가벼운 생강 스파이스가 조화를 이룹니다.",은은한 단맛과 따뜻한 오크 향이 부드럽게 여운을 남깁니다.,,3,1,3,2,3,아일랜드 싱글몰트의 부드러운 재해석,1,46,ai_estimated
Woodford Reserve Double Oaked,"강렬한 진한 캐러멜, 다크 초콜릿, 구운 헤이즐넛과 함께 풍부한 바닐라와 사과 향이 압도적입니다.","두 번 구운 오크통 덕분에 묵직하고 꾸덕한 바디감과 함께 흑설탕, 메이플 시럽, 진한 오크의 풍미가 가득 찹니다.",달콤하고 스모키한 오크 여운이 아주 길고 깊게 지속됩니다.,,5,2,2,3,5,오크의 깊고 진한 달콤함을 품은 버번,1,43.2,ai_estimated
Dewar's 12 Year Old,"잘 익은 과일, 시트러스, 그리고 꿀에 절인 건포도와 은은한 바닐라 향이 조화롭습니다.","더블 아이지드 공법 특유의 부드러움 속에서 버터스카치, 과일 샐러드, 은은한 오크의 풍미가 느껴집니다.",달콤하면서도 깔끔한 과일 향의 여운이 기분 좋게 마무리됩니다.,,3,1,3,2,3,더블 에이징으로 더 부드러워진 스카치,1,40,ai_estimated
Glenmorangie The Nectar 16 Year Old,"달콤한 꿀, 바닐라 크림과 함께 풍부한 레몬 타르트, 오렌지 껍질의 시트러스가 매력적으로 다가옵니다.","소테르누스 와인 캐리시에서 온 진한 디저트 같은 달콤함과 생강, 구운 견과류의 복합적인 맛이 부드럽게 감쌉니다.",입안에 은은하게 퍼지는 과일의 풍미와 부드러운 스파이스가 기분 좋은 여운을 남깁니다.,,5,1,5,2,4,달콤하고 화사한 디저트 같은 싱글몰트,1,46,ai_estimated
Springbank 15 Year Old,"짙은 셰리 캐스크의 영향으로 말린 과일, 다크 초콜릿, 가죽 향과 함께 스프링뱅크 특유의 짭조름한 해풍이 감돌아옵니다.","오렌지 마말레이드, 무화과, 풍부한 견과류의 맛이 묵직한 바디감과 함께 밸런스 좋게 펼쳐집니다.","스모크와 흙내음, 짠맛과 단맛이 어우러진 깊고 긴 여운이 이어집니다.",,3,3,4,3,5,캠블턴의 복합미를 극한으로 보여주는 명작,1,46,ai_estimated
Jameson Standard,"가볍고 신선한 과일 향과 함께 은은한 바닐라, 구운 나무의 향이 편안하게 다가옵니다.","달콤한 바닐라 노트와 고소한 견과류, 부드러운 곡물의 풍미가 조화롭게 어우러집니다.",깔끔하게 떨어지는 마무리와 함께 은은한 꿀의 여운이 남습니다.,,3,1,3,2,2,누구나 편하게 즐기는 아이리시 위스키의 정석,1,40,ai_estimated
Russell's Reserve 10 Year Old,"풍부한 캐러멜, 바닐라와 함께 깊은 오크통의 향, 그리고 묵직한 버터스카치 향이 느껴집니다.","구운 오크와 진한 바닐라, 달콤한 흑설탕 맛이 입안을 가득 채우며 묵직한 무게감을 줍니다.",오랫동안 따뜻하게 이어지는 스파이시함과 달콤한 여운이 인상적입니다.,,4,1,2,4,4,와일드 터키의 깊고 진한 전통을 담은 버번,1,45,ai_estimated
Clynelish 14 Year Old,"은은한 왁스질(밀랍)의 질감과 함께 사과, 배 같은 과일 향, 그리고 가벼운 해풍의 느낌이 묻어납니다.",풍부한 과일의 단맛 뒤로 짭조름하면서도 왁시한 독특한 질감과 스파이시함이 조화를 이룹니다.,왁시한 여운과 함께 은은한 피트와 짭조름한 미네랄 감각이 길게 이어집니다.,,3,2,4,3,4,독특한 밀랍 질감과 해풍이 깃든 북부의 보석,1,46,ai_estimated
Bladnoch 16 Year Old Oloroso Sherry Cask,"올로로소 셰리 캐스크에서 온 진한 건포도, 자두, 초콜릿 향과 함께 오크의 깊은 향이 코를 감쌉니다.","풍부한 말린 과일, 호두, 스위트 스파이스의 맛이 묵직하고 크리미한 바디감과 함께 다가옵니다.",달콤하면서도 드라이한 스파이스가 길고 고급스럽게 여운을 남깁니다.,,4,1,5,3,4,저지방 증류소의 화려하고 진한 셰리 변신,1,46,ai_estimated
Blanton's Single Barrel,"달콤한 캐러멜과 바닐라 향을 중심으로 오렌지 껍질, 꿀, 풍부한 참나무 향이 조화롭게 피어오릅니다.","옥수수의 단맛과 바닐라, 버터스카치가 입안에서 부드럽게 녹아들며 정향과 계피의 스파이스가 더해집니다.",따뜻하고 달콤한 캐러멜과 오크의 여운이 길게 이어집니다.,,4,1,3,3,4,싱글 배럴 버번의 우아함과 깊이의 정점,1,46.5,ai_estimated
Aberfeldy 12 Year Old,"꿀에 절인 사과와 배의 과일 향과 함께 왁시한 느낌, 그리고 은은한 바닐라가 부드럽게 다가옵니다.","꿀, 바닐라, 과일의 단맛과 함께 약간의 스파이시함과 시트러스한 상큼함이 균형을 이룹니다.",달콤한 꿀의 풍미와 오크의 여운이 따뜻하게 남습니다.,,4,1,4,2,3,황금빛 꿀과 과일향이 매력적인 하이랜드 싱글몰트,1,40,ai_estimated
Russell's Reserve Single Barrel Rye,"진한 호밀(라이) 특유의 스파이시함과 함께 바닐라, 캐러멜, 민트, 허브 향이 강렬하게 코를 자극합니다.","흑설탕의 진한 단맛 뒤로 후추, 시나몬 같은 강한 스파이스와 오크의 풍미가 묵직하게 어우러집니다.",화끈한 스파이시함과 함께 오크와 달콤함이 길고 강렬한 여운을 남깁니다.,,3,1,2,5,5,와일드 터키가 선사하는 강렬하고 묵직한 라이,3,52,ai_estimated
Willett Family Estate Small Batch Rye,"민트, 유칼립투스, 진한 바닐라와 함께 달콤한 꿀, 풋사과 같은 상쾌하고 복합적인 향이 감돕니다.","강렬한 호밀의 스파이스와 함께 꿀, 버터스카치, 구운 견과류의 풍미가 환상적인 밸런스를 이룹니다.",오랜 시간 지속되는 진한 스파이스와 달콤한 민트의 여운이 일품입니다.,,3,1,3,5,5,버번과 라이 애호가들의 찬사를 받는 프리미엄 병입,5,55,ai_estimated
Highland Park 25 Year Old,"오크니 섬의 피트에서 오는 은은한 스모크와 함께 잘 익은 열대과일, 꿀, 다크 초콜릿 향이 우아하게 어우러집니다.","풍부한 과일 케이크, 벌꿀, 견과류, 그리고 겹겹이 쌓인 스모크와 피트가 웅장한 맛을 냅니다.",끝없이 이어지는 달콤함과 부드러운 스모크의 여운이 깊은 감동을 줍니다.,,4,3,4,2,5,시간이 빚어낸 오크니 섬의 전설적인 럭셔리 위스키,1,45.7,ai_estimated
Grant's Triple Wood,"가벼운 바닐라와 함께 신선한 과일 향, 은은한 곡물의 향이 부담 없이 다가옵니다.","부드러운 맥아의 단맛과 과일 풍미, 가벼운 오크의 터치가 편안하게 입안을 감쌉니다.",깔끔하고 무난하게 떨어지는 데일리 블렌디드 위스키의 여운입니다.,,3,1,3,2,2,세 가지 목통이 만든 부드러운 데일리 블렌디드,1,40,ai_estimated
White Oak Akashi Red,"은은한 곡물 향과 함께 풋사과, 바닐라의 가벼운 단맛이 부드럽게 코를 스칩니다.","부드러운 목넘김과 함께 꿀, 캐러멜, 약간의 스파이시함이 조화를 이룹니다.",깔끔하고 가벼운 마무리로 가볍게 즐기기 좋은 여운을 남깁니다.,,3,1,3,2,2,일본 해안가 증류소의 부드러운 블렌디드,1,40,ai_estimated
Suntory Old Whisky,"잘 익은 과일의 달콤함과 함께 은은한 피트의 스모크, 나무 향이 클래식하게 느껴집니다.","부드럽고 둥글둥글한 바디감과 함께 꿀, 간장(은은한 짭조름함), 향신료의 조화로운 맛이 납니다.",차분하고 따뜻한 여운이 부드럽게 마무리를 짓습니다.,,3,2,3,2,3,일본 위스키의 역사와 전통을 담은 클래식,1,43,ai_estimated
Jack Daniel's Single Barrel Barrel Proof,"진한 바닐라, 캐러멜, 구운 오크의 향이 폭발하듯 강렬하게 다가오며 흑설탕의 단맛이 묻어납니다.","압도적인 도수에서 오는 묵직한 바디감과 함께 짙은 캐러멜, 토피, 스파이시함이 입안을 강타합니다.",길고 뜨겁게 이어지는 오크와 달콤한 바닐라의 여운이 짜릿한 인상을 줍니다.,,4,2,2,5,5,잭 다니엘의 힘과 풍미를 고스란히 담은 원액,1,64.5,ai_estimated
Aberfeldy 16 Year Old,"꿀로 글레이즈드한 과일 향과 함께 헤더 허브, 진한 바닐라 노트가 부드럽게 피어오릅니다.","풍부한 꿀, 감미로운 과일 파이, 그리고 구운 오크의 풍미가 크리미한 질감과 함께 다가옵니다.",오크의 스파이스와 은은한 오렌지 껍질의 여운이 길고 따뜻하게 이어집니다.,,4,1,4,2,4,꿀과 과일이 빚어낸 황금빛 위스키,1,40,ai_estimated
The Glenturret 12 Year Old (2025 Release),"풍부한 과일 케이크, 말린 과일, 그리고 신선한 오크 향이 조화롭게 어우러집니다.","잘 익은 과일의 달콤함과 생강, 계피 같은 따뜻한 향신료의 풍미가 묵직하게 입안을 채웁니다.",풍부한 오크 향과 달콤한 과일의 여운이 길고 우아하게 남습니다.,,3,1,4,3,4,전통과 장인정신이 담긴 깊이 있는 12년,1,43,ai_estimated
Suntory Kakubin,"은은한 감귤류의 시트러스와 레몬 필, 그리고 가벼운 곡물 향이 산뜻하게 다가옵니다.",달콤한 바닐라와 꿀의 풍미가 가볍고 깔끔한 스모크와 함께 부드럽게 어우러집니다.,드라이하면서도 깔끔한 생강과 오크의 여운이 산뜻하게 마무리됩니다.,,3,2,3,2,2,하이볼의 영원한 클래식 스탠다드,1,40,ai_estimated
The Glenturret 12 Year Old (2024 Release),"말린 과일, 풍성한 오크 터치, 그리고 은은한 바닐라와 초콜릿의 향이 감돌니다.","잘 익은 건포도와 사과, 그리고 묵직한 향신료의 풍미가 크리미하게 다가옵니다.",달콤함과 스파이시함이 균형을 이루며 따뜻한 여운을 남깁니다.,,3,1,4,3,4,스코틀랜드 최고(最古) 증류소의 클래식,1,43,ai_estimated
Nikka Taketsuru Pure Malt,"달콤한 과일 향과 함께 부드러운 토피, 그리고 은은한 피트 스모크가 복합적으로 피어오릅니다.","다양한 맥트 원액에서 오는 풍부한 과일 맛과 캐러멜, 그리고 은은한 스파이스의 조화가 돋보입니다.",부드러운 스모키함과 달콤함이 조화롭게 어우러진 긴 여운을 선사합니다.,,3,2,4,3,4,재팬 위스키의 아버지에게 바치는 찬가,1,43,ai_estimated
Glenmorangie Signet,"진한 에스프레소, 구운 과일, 그리고 다크 초콜릿과 풍부한 향신료의 압도적인 아로마.","녹아내리는 티라미수, 오렌지 껍질, 그리고 강렬한 스파이스가 벨벳 같은 질감으로 감쌉니다.",끝없이 이어지는 모카 커피와 따뜻한 향신료의 극상의 여운.,,4,1,3,4,5,"위스키 예술의 정점, 궁극의 럭셔리",1,46,ai_estimated
Woodford Reserve Straight Bourbon,"풍부한 건과일 향, 바닐라, 캐러멜과 함께 민트와 은은한 시트러스의 터치가 느껴집니다.","바닐라와 달콤한 옥수수 맛을 바탕으로 달고나, 견과류, 풍부한 향신료가 복합적으로 다가옵니다.",부드럽고 크리미한 질감과 함께 따뜻한 오크의 여운이 길게 이어집니다.,,4,1,3,3,4,풍부하고 부드러운 프리미엄 버번의 기준,3,43.2,ai_estimated
Monkey Shoulder,"상큼한 오렌지 껍질과 바닐라, 꿀, 그리고 은은한 스파이스가 발랄하게 조화를 이룹니다.",크리미한 바닐라 커스터드와 달콤한 과일 맛이 가볍고 부드럽게 입안을 감쌉니다.,깔끔하고 달콤한 맥아의 여운이 산뜻하게 마무리됩니다.,,4,1,4,2,3,누구나 즐겁게 마시는 최고의 블렌디드 몰트,1,40,ai_estimated
Glenmorangie The Original 12 Year Old,"상큼한 레몬과 복숭아, 그리고 부드러운 바닐라의 아로마가 꽃 향기와 함께 피어오릅니다.","오렌지, 허니, 크리미한 바닐라가 입안에서 감미롭게 녹아내리며 과일의 달콤함을 선사합니다.",복숭아와 오렌지의 상큼한 여운이 부드럽고 깔끔하게 남습니다.,,4,1,4,2,3,글렌모란지의 우아함과 부드러움의 정수,1,40,ai_estimated
Nikka Single Malt Yoichi,"스모키한 피트와 함께 청사과, 배 같은 싱그러운 과일 향, 은은한 해조류의 노트가 감돌니다.","묵직한 바디감과 함께 피트 스모크, 다크 초콜릿, 몰트의 단맛이 남성적으로 어우러집니다.",짭조름한 해풍의 느낌과 스모키한 여운이 길고 묵직하게 남습니다.,,3,4,3,3,4,바다의 기운을 담은 강렬한 몰트,1,45,ai_estimated
Longrow Peated,"강렬하고 흙 냄새가 나는 피트 스모크와 함께 바닐라, 시트러스, 은은한 캠프파이어 향이 납니다.","진득한 스모크와 함께 크리미한 바닐라, 타르, 그리고 말린 과일의 단맛이 묵직하게 다가옵니다.",깊고 드라이한 스모키함이 길고 강렬하게 입안을 감쌉니다.,,2,5,3,4,4,스프링뱅크가 빚어낸 강렬한 피트의 매력,1,46,ai_estimated
Nikka Single Malt Miyagikyo,"사과, 배, 잘 익은 과일의 향과 함께 우아한 바닐라, 은은한 꽃 향기가 화사하게 다가옵니다.","부드럽고 실키한 질감 속에서 배의 달콤함, 밀크 초콜릿, 가벼운 향신료가 조화를 이룹니다.",부드럽고 달콤한 과일의 여운이 깔끔하게 마무리됩니다.,,4,1,4,2,3,과일과 꽃향기가 피어나는 우아한 니카,1,45,ai_estimated
Angel's Envy Port Cask Finish,"포트 와인 캐스크에서 온 풍부한 붉은 과일, 체리, 익은 포도 향과 바닐라가 감돌니다.",달콤한 메이플 시럽과 초콜릿 맛을 바탕으로 베리류의 과일 산미와 시나몬 스파이스가 어우러집니다.,포트 와인의 달콤하고 우아한 여운이 길고 부드럽게 이어집니다.,,5,1,5,3,4,포트 캐스크가 선사하는 천상의 달콤함,1,43.3,ai_estimated
Tsunuki 2026 Edition,"혼슈 남쪽의 따뜻한 기후를 반영하듯 짙은 과일 향과 함께 훈연된 허브, 은은한 피트 향이 감돌아옵니다.","다크 체리, 잘 익은 사과 같은 풍부한 과일 풍미와 함께 쌉싸름한 오크와 스파이시함이 조화를 이룹니다.",따뜻하고 스모키한 여운이 길게 이어지며 깊은 여상을 남깁니다.,,3,3,4,3,4,일본 남쪽 증류소의 묵직하고 복합적인 매력,1,50,ai_estimated
Glen Grant 10 Year Old,"신선한 사과와 레몬 껍질의 상큼함이 지배적이며, 은은한 꽃향기와 꿀의 아로마가 가볍게 감쌉니다.","부드럽고 달콤한 과일 맛과 함께 풋사과, 배, 그리고 가벼운 맥아의 풍미가 산뜻하게 다가옵니다.",깔끔하고 청량한 과일 향이 가볍고 산뜻한 여운을 남깁니다.,,3,1,5,2,2,과일과 꽃향기가 가득한 청량한 스카치,1,40,ai_estimated
Elements of Islay Peat,"의약품 같은 피트 스모크와 함께 짭조름한 해초, 그리고 레몬 제스트의 시트러스함이 강렬하게 코를 자극합니다.","직관적인 스모키함과 함께 캔디 같은 단맛, 그리고 강한 후추의 스파이시함이 폭발적으로 전해집니다.",길게 이어지는 스모키함과 바닷바람 같은 짭조름함이 돋보입니다.,,2,5,2,4,4,아일레이 피트의 진수를 담은 강렬함,1,45,ai_estimated
Caol Ila 12 Year Old,"은은한 스모크와 함께 신선한 허브, 레몬 그라스, 그리고 젖은 모래와 같은 아일레이 특유의 해양 노트가 느껴집니다.","부드러운 단맛으로 시작해 스모키한 연기와 생강, 훈연된 베이컨 같은 짭조름한 풍미가 밸런스 좋게 퍼집니다.",드라이하면서도 달콤 쌉싸름한 스모키함이 개운하게 여운을 남깁니다.,,2,4,3,3,3,우아한 연기와 바다 향의 완벽한 조화,1,43,ai_estimated
Jim Beam White Label,"달콤한 옥수수 향과 함께 바닐라, 캐러멜, 그리고 은은한 오크의 아로마가 가볍고 친근하게 다가옵니다.","바닐라와 캐러멜의 직관적인 단맛 뒤로 옥수수 특유의 고소함과 약간의 풋내, 그리고 시나몬 스파이스가 느껴집니다.","깔끔하고 가벼우며, 은은한 오크와 스파이스의 여운이 짧게 마무리됩니다.",,4,1,2,3,2,전 세계가 사랑하는 클래식 버번의 기준,1,40,ai_estimated
Jim Beam Black Extra Aged,"오랜 숙성에서 오는 묵직한 바닐라, 캐러멜, 그리고 구운 오크와 다크 초콜릿의 향이 깊이 있게 피어오릅니다.","화이트보다 더욱 풍부해진 바닐라와 캐러멜의 단맛, 그리고 진한 오크 터치와 견과류의 고소함이 묵직하게 감쌉니다.",달콤함과 은은한 스파이스가 따뜻하고 길게 여운을 남깁니다.,,4,1,3,3,3,더 깊고 진해진 짐빔의 프리미엄 버번,1,43,ai_estimated
Teacher's Highland Cream,"풍부한 몰트 향과 함께 사과, 배 같은 과일 향, 그리고 은은한 피트 스모크가 균형 있게 어우러집니다.","높은 몰트 함량에서 오는 진한 곡물 풍미와 크리미한 단맛, 그리고 가벼운 스파이스가 부드럽게 감깁니다.",깔끔한 곡물과 드라이한 스모키함이 산뜻한 여운을 선사합니다.,,3,2,3,3,3,몰트의 풍미를 듬뿍 담은 개성 있는 블렌디드,1,40,ai_estimated
Redbreast 12 Year Old,"잘 익은 과일(무화과, 자두) 향과 함께 진한 셰리 오크, 바닐라, 그리고 싱글팟스틸 특유의 향신료 향이 복합적입니다.","크리미하고 오일러스한 텍스처 위로 꿀, 과일, 구운 견과류, 그리고 톡 쏘는 스파이스가 조화롭게 폭발합니다.",복합적인 과일과 풍부한 스파이스의 여운이 길고 우아하게 이어집니다.,,4,1,4,4,4,아이리시 위스키의 정수를 보여주는 명작,1,40,ai_estimated
Glenmorangie Quinta Ruban 14 Year Old,"다크 초콜릿, 민트, 그리고 달콤한 오렌지와 풍부한 베리류의 아로마가 매혹적으로 다가옵니다.","루비 포트 와인 캐스크에서 오는 진한 초콜릿, 월넛, 그리고 잘 익은 만다린 오렌지의 달콤새콤함이 진득합니다.",오렌지 껍질과 초콜릿의 달콤 쌉싸름한 여운이 길고 부드럽게 남습니다.,,4,1,4,2,4,포트 와인 캐스크가 빚어낸 초콜릿과 과일의 향연,3,46,ai_estimated
Royal Brackla 12 Year Old,"향기로운 꽃향기와 함께 잘 익은 복숭아, 배, 그리고 바닐라 캐러멜의 달콤함이 우아하게 감돕니다.","부드럽고 크리미한 텍스처와 함께 시나몬, 생강 같은 따뜻한 스파이스와 풍부한 과일의 단맛이 조화를 이룹니다.",과일과 은은한 오크의 풍미가 포근하고 부드러운 여운을 남깁니다.,,3,1,4,2,3,왕실의 품격을 담은 우아한 과일 향,1,40,ai_estimated
Russell's Reserve 6 Year Old Rye,"진한 호밀(Rye) 특유의 풀 향과 함께 바닐라, 캐러멜, 그리고 은은한 가죽과 오크의 아로마가 느껴집니다.","풍부한 꿀의 단맛과 함께 후추, 정향 같은 묵직하고 알싸한 스파이스가 혀를 감싸며 곡물의 고소함이 돋보입니다.",드라이하면서도 스파이시한 여운이 길고 강렬하게 남습니다.,,2,1,2,5,4,와일드 터키의 내공이 담긴 묵직한 호밀 위스키,1,45,ai_estimated
Dalwhinnie 15 Year Old,"은은한 꿀 향과 함께 헤더(히스 꽃), 신선한 사과, 그리고 달콤한 바닐라 아로마가 부드럽게 퍼집니다.","입안에서 꿀처럼 부드럽게 녹아드는 단맛과 함께 시트러스, 맥아, 그리고 가벼운 견과류의 풍미가 정갈합니다.",청량하면서도 따뜻한 꿀과 이탄의 느낌이 부드럽게 여운을 남깁니다.,,4,1,3,2,2,하이랜드의 서늘함이 빚어낸 부드러운 꿀물 같은,1,43,ai_estimated
Four Roses Single Barrel,"풍부한 메이플 시럽, 바닐라, 다크 체리와 같은 진한 과일 향이 복합적이고 고급스럽게 코를 감쌉니다.","강렬한 바닐라와 캐러멜의 단맛 뒤로 시나몬, 육두구 등의 스파이스와 풍성한 과일 풍미가 꽉 찬 바디감으로 다가옵니다.",깊고 스파이시하며 긴 여운이 매력적인 프리미엄 버번입니다.,,4,1,4,4,5,싱글 배럴의 깊고 풍부한 과일과 스파이스,1,50,ai_estimated
Cutty Sark Prohibition Edition,"바닐라, 오렌지 껍질, 그리고 은은한 스파이스와 풍부한 견과류 향이 코를 감쌉니다.",크리미한 토피와 캐러멜의 달콤함 뒤로 따뜻하고 묵직한 스파이시함이 조화를 이룹니다.,달콤함과 은은한 오크 향이 따뜻하게 지속됩니다.,,3,2,3,4,4,강렬하고 부드러운 금지법 시대의 재현,1,50.0,ai_estimated
Glenmorangie Lasanta 12 Year Old,"셰리 캐러멜, 건포도, 토피와 함께 꿀에 절인 오렌지 껍질의 풍성한 향이 느껴집니다.","초콜릿으로 코팅된 건포도와 호두, 그리고 따뜻한 향신료의 맛이 입안을 부드럽게 채웁니다.",오렌지 향과 헤이즐넛의 여운이 길게 이어집니다.,,4,1,4,3,4,셰리 캐스크의 따뜻하고 풍성한 유혹,1,43.0,ai_estimated
Tamdhu 18 Year Old,"진한 셰리 노트와 함께 말린 과일, 다크 초콜릿, 시나몬의 깊고 우아한 향이 납니다.","체리, 자두, 풍부한 견과류와 오크가 어우러져 벨벳 같은 질감과 깊은 단맛을 선사합니다.",길고 따뜻한 스파이스와 말린 과일의 여운이 여운을 남깁니다.,,4,1,5,3,5,100% 셰리 캐스크가 선사하는 깊은 숙성미,1,46.8,ai_estimated
Nikka Session,화사한 사과와 배 같은 과일 향에 바닐라와 은은한 몰트 향이 조화롭게 다가옵니다.,"부드러운 크림과 오렌지 껍질, 그리고 꿀 같은 단맛과 경쾌한 스파이시함이 느껴집니다.",은은한 피트의 터치와 함께 깔끔하게 떨어집니다.,,3,2,4,2,3,스코틀랜드와 일본의 리드미컬한 하모니,1,43.0,ai_estimated
Auchentoshan American Oak,"바닐라, 코코넛, 그리고 싱그러운 시트러스와 청사과 향이 부드럽게 피어오릅니다.","코코넛 크림, 복숭아, 그리고 버거번의 달콤함이 가볍고 산뜻하게 입안을 감쌉니다.",상큼한 과일 향과 은은한 달콤함이 깔끔하게 마무리됩니다.,,3,1,4,2,2,가볍고 산뜻한 로우랜드의 아메리칸 스타일,1,40.0,ai_estimated
Edradour No.2 Inaugural Release 7 Year Old,"강렬한 셰리 노트와 베리류, 진한 가죽과 스파이스 향이 묵직하게 다가옵니다.","풍부한 건과일, 진한 토피, 그리고 스파이시한 오크의 복합적인 맛이 돋보입니다.",묵직하고 길게 이어지는 셰리의 여운.,,4,1,4,4,5,작은 증류소가 빚어낸 진한 셰리의 응축,1,57.1,ai_estimated
Glen Scotia Double Cask,캐러멜과 바닐라의 달콤함 뒤로 짭조름한 해풍과 은은한 과일 향이 스칩니다.,"꿀, 오렌지 잼, 그리고 캠벨타운 특유의 짭짤하고 드라이한 스파이스가 조화를 이룹니다.",드라이하면서도 스파이시한 여운이 바다 내음과 함께 남습니다.,,3,2,3,3,3,캠벨타운의 바다와 달콤함이 만난 순간,1,46.0,ai_estimated
Glen Grant Arboralis Cask Strength,"싱그러운 과일 향과 바닐라, 꿀의 단향이 강렬하게 코를 자극합니다.","배, 사과 같은 신선한 과일의 풍미와 함께 캐스크 스트렝스 특유의 묵직한 몰트와 스파이스가 터집니다.",오크와 과일의 풍미가 화사하고 길게 이어집니다.,,3,1,4,4,4,자연을 담은 화사하고 강렬한 원초적 매력,1,54.5,ai_estimated
Old Parr 12 Year Old,"부드러운 과일 향과 함께 토피, 바닐라, 그리고 은은한 오크 향이 포근하게 감쌉니다.","꿀에 절인 과일, 견과류, 부드러운 캐러멜의 단맛이 밸런스 좋게 퍼집니다.",부드럽고 은은한 스모크와 달콤함이 길게 여운을 줍니다.,,3,2,3,2,3,클래식 블렌디드의 부드러운 품격,1,40.0,ai_estimated
The Dalmore 12 Year Old,"오렌지 마말레이드, 초콜릿, 그리고 향신료의 풍부하고 고급스러운 향이 납니다.","구운 감귤류, 시나몬, 바닐라, 그리고 셰리 캐스크의 진한 달콤함이 묵직하게 다가옵니다.",달콤한 오렌지와 오크의 여운이 길고 우아하게 남습니다.,,4,1,4,3,4,왕실의 품격을 담은 화려한 셰리의 정수,1,40.0,ai_estimated
Russell's Reserve 13 Year Old Barrel Proof (2025 Release),"진한 바닐라, 캐러멜, 구운 오크와 함께 흑설탕, 다크 초콜릿, 풍부한 향신료 향이 복합적입니다.","진득한 메이플 시럽, 정향, 가죽, 잘 익은 체리의 묵직하고 강렬한 풍미가 입안을 압도합니다.",오크와 스파이스의 여운이 엄청나게 길고 깊게 지속됩니다.,,4,2,3,5,5,버번 마니아를 매료시키는 13년의 깊이,1,57.4,ai_estimated
The Glenlivet 12 Year Old 200th Anniversary Edition,"잘 익은 배, 오렌지 마말레이드, 그리고 달콤한 바닐라와 코코넛 향이 싱그럽게 피어오릅니다.","풍부한 과일 샐러드, 크리미한 토피, 그리고 은은한 오크의 스파이스가 부드럽게 어우러집니다.",달콤하고 부드러운 여운이 깔끔하게 입안을 감쌉니다.,,3,1,4,2,3,스페이사이드의 원조가 선사하는 200년의 축제,1,43.0,ai_estimated
Campbeltown Loch,"꿀, 바닐라의 달콤함과 함께 캠벨타운 특유의 짭조름한 해풍, 과일 향이 어우러집니다.","피트 스모크, 시트러스, 견과류, 그리고 묵직한 몰트의 풍미가 복합적으로 터집니다.",바다의 짭짤함과 스모키한 여운이 길게 이어집니다.,,3,3,3,3,4,캠벨타운의 매력을 한 병에 담은 블렌디드,1,46.0,ai_estimated
Bowmore 12 Year Old,은은한 레몬과 꿀 향에 어우러지는 특유의 부드러운 피트 향과 짭조름한 해풍의 느낌이 감돈다.,"다크 초콜릿 같은 달콤함과 따뜻하고 묵직한 피트 연기, 과일의 풍미가 조화롭게 입안을 채운다.",길게 이어지는 부드러운 스모크와 은은한 시트러스의 여운이 깔끔하게 남는다.,,3,4,3,2,3,아이슬라의 바다를 품은 밸런스 좋은 피트,1,40,ai_estimated
Bowmore 15 Year Old,"풍부한 다크 초콜릿과 잘 익은 건포도, 그리고 셰리 와인 특유의 달콤한 과일 향이 전면으로 다가온다.","시럽처럼 달콤한 무화과와 삼나무 향, 그리고 보모어 고유의 우아한 토탄 연기가 매끄럽게 얽힌다.",달콤함과 쌉싸름한 스모키함이 오래도록 따뜻하게 지속된다.,,4,3,4,2,4,셰리와 피트가 빚어낸 매혹적인 조화,1,43,ai_estimated
Bowmore 16 Year Old Ruby Port,"포트 와인 캐스크 숙성에서 오는 강렬한 붉은 과일 향, 자두, 체리, 그리고 은은한 허브 향이 난다.","달콤한 베리류의 풍미와 견과류, 다크 초콜릿의 맛이 보모어의 스모키함과 깊이 있게 어우러진다.",드라이하면서도 과일의 달콤함과 스모크가 길고 풍성한 여운을 남긴다.,,4,3,5,3,4,와인 캐스크와 피트의 환상적인 랑데부,1,50.3,ai_estimated
Bowmore 18 Year Old,"크리미한 토피와 잘 익은 과일, 버터scotch 향에 고급스러운 오크와 은은한 연기가 겹겹이 피어오른다.",과일 케이크처럼 달콤하고 부드러운 질감 뒤로 묵직한 초콜릿과 스모키한 피트가 완벽한 균형을 이룬다.,"매우 길고 깊으며, 달콤함과 짭조름한 스모크가 복합적으로 여운을 남긴다.",,4,3,4,2,4,시간이 완성한 우아함과 깊이감,1,43,ai_estimated
Bowmore 21 Year Old Aston Martin Masters Selection,"풍부한 메이플 시럽, 꿀에 절인 견과류, 신선한 가죽 향과 함께 고급스러운 연기가 우아하게 감싼다.","입안을 가득 채우는 크리미한 바닐라와 잘 익은 과일의 풍미, 그리고 깊고 세련된 토탄의 무게감.","끝없이 이어지는 듯한 고급스러운 오크 터치와 과일, 스모크의 여운.",,4,3,4,3,5,장인정신과 속도감이 만난 럭셔리 피트,1,51.5,ai_estimated
