standard_whisky_name,pitch
Kavalan Podium,싱그러운 꽃향기와 망고의 다채로운 풍미가 실키한 바닐라 크림과 어우러지는 우아함을 꼭 느껴보세요.
Kavalan Single Malt Whisky,망고와 배 사탕의 달콤함이 폭발하듯 이어지고 코코넛과 바닐라의 실키한 여운이 마지막까지 길게 남아 트로피컬함을 제대로 살려줍니다.
Kavalan Solist Amontillado Sherry Single Cask Strength,헤이즐넛의 고소함과 짙은 셰리 노트가 만들어내는 복합적인 단맛에 빠지면 헤어나오기 힘들어요.
Kavalan Solist Bourbon Cask Single Cask Strength,"바닐라와 열대과일의 신선한 향이 코를 강렬하게 자극하는데, 깔끔하고 달콤한 바닐라 여운이 길게 이어지는 정석적인 맛입니다."
Kavalan Solist Brandy Cask Single Cask Strength,과일 케이크와 버터스카치의 묵직한 단맛이 입안을 가득 채우는 브랜디 캐스크의 매력에 한 번 빠져보세요.
Kavalan Solist Colheita Port Cask Single Cask Strength,"붉은 베리류와 체리의 달콤새콤한 과일 향이 돌 때, 포트와인 특유의 진한 베리 맛을 좋아하신다면 꼭 한 잔 해보세요."
Kavalan Solist Fino Sherry Single Cask Strength,청량한 견과류와 시트러스가 캐스크 스트렝스의 강렬한 도수 속에서 터져 나오는 순간을 놓치지 마세요.
Kavalan Solist Madeira Wine Cask Single Cask Strength,꿀에 절인 과일과 농축된 포도즙이 주는 극도의 달콤함을 찾으신다면 이 마데디라 와인 캐스크가 정답입니다.
Kavalan Solist Manzanilla Sherry Single Cask Strength,만자닐라 셰리 특유의 짭조름함과 묵직한 건과일의 독창적인 조합을 경험해보고 싶다면 지금 바로 집어 가세요.
Kavalan Solist Moscatel Sherry Single Cask Strength,"청포도와 꿀의 향이 폭발하듯 피어오르는데, 캐스크 스트렝스 특유의 농밀한 단맛을 좋아하신다면 무조건 마셔봐야 합니다."
Kavalan Solist Oloroso Sherry Single Cask Strength,건포도와 무화과의 진한 풍미가 묵직한 바디감과 함께 입안을 가득 채우는 올로로소 셰리의 진수를 맛보세요.
Kavalan Solist PX Sherry Single Cask Strength,무화과와 에스프레소의 농축된 아로마 뒤로 극도로 달콤하고 묵직한 시럽 맛이 압도적으로 밀려오는 명작입니다.
Kavalan Solist Palo Cortado Sherry Single Cask Strength,희귀한 팔로 코르타도 캐스크에서 우러난 다크 초콜릿과 묵직한 건과일의 깊은 단맛을 놓치지 마세요.
Kavalan Solist Port Cask Single Cask Strength,달콤한 포도 잼과 다크 초콜릿의 진한 단맛을 좋아하신다면 이 강렬한 캐스크 스트렝스를 꼭 마셔봐야 합니다.
Kavalan Solist Sherry Cask Single Cask Strength,"건포도와 초콜릿의 묵직한 단맛에 쌉싸름한 다크초콜릿 여운까지, 진한 셰리 위스키를 찾는다면 이만한 게 없습니다."
Kavalan Solist Vinho Barrique Single Cask Strength,"폭발적인 열대 과일과 버터시럽, 진한 베리류의 맛이 응축된 말 그대로의 과일 폭탄을 경험해보세요."
Kavalan Solist Virgin American Oak Single Cask Strength,새 오크통 특유의 강렬한 바닐라와 시나몬 풍미가 입안을 꽉 채우는 묵직함을 원하신다면 무조건 이거예요.
Kavalan Solist ex-Bourbon Cask Single Cask Strength,망고와 파인애플 같은 열대 과일 폭탄을 좋아하신다면 이 버본 캐스크의 화사한 바닐라향에 반할 거예요.
Kavalan Triple Sherry Cask,세 가지 셰리가 빚어낸 버터스코치와 초콜릿의 크리미한 질감에 한 번 빠지면 다른 위스키는 심심해져요.
Ki One,한국 최초의 싱글몰트에서 피어오르는 꿀과 맥아의 단맛에 기분 좋은 스파이스까지 더해져 지금 안 마셔보면 정말 아쉬울 겁니다.
Ki One Distillery,"열대 과일의 상큼함과 생강, 후추의 스파이시함이 젊고 활기차게 펼쳐지는 국내 최초 싱글몰트예요."
Ki One Hawaii Edition,파인애플과 망고 같은 이국적인 열대 과일의 단맛과 크리미한 질감이 입안 가득 폭발하는 순간을 놓치지 마세요.
Ki One Single Malt,"달콤한 바닐라와 열대 과일 향 뒤로 구운 보리의 고소함과 꿀, 시나몬이 어우러져 한국 첫 싱글몰트만의 개성을 보여줍니다."
Ki One Tiger Edition PX Sherry Cask,"진한 PX 셰리통에서 온 건포도와 무화과, 흑당의 깊은 단맛이 코를 완전히 사로잡아요, 다크 초콜릿과 묵직한 바디감을 찾으신다면 무조건입니다."
Kilkerran 16 Year Old,"꿀과 바닐라 뒤로 짭조름한 미네랄리티와 톡 쏘는 스파이시함이 복잡하게 얽혀서, 장인 정신이 만든 묵직한 여운을 찾으신다면 딱입니다."
Lagavulin 12 Year Old Special Release,"강렬한 피트 스모크와 갯벌, 레몬 껍질의 상큼함이 폭발하여 피트 매니아라면 절대 지나칠 수 없는 힘을 보여줍니다."
Lagavulin 16 Year Old,강렬한 피트 스모크와 짭조름한 바다 내음 속에서 말린 과일의 달콤함이 밀려오는 아일라의 제왕입니다.
Lagavulin 8 Year Old,강렬한 피트 스모크와 짭조름한 해초의 맛이 혀를 자극하는 이 거침없는 아일라 위스키의 매력에 빠져보세요.
Lambay Single Malt Irish Whiskey,"꽃향기와 그린 과일의 싱그러움 뒤로 꼬냑 캐스크의 오크 터치가 감돌아요, 청량한 과일 향으로 가볍게 시작하고 싶을 때 이만한 게 없어요."
Laphroaig 10,"강렬한 소독약과 그을린 나무연기, 짭조름한 바닷내음이 휘몰아쳐 피트 매니아라면 절대 그냥 지나칠 수 없는 몬스터입니다."
Laphroaig 15,"오렌지 제스트와 부드러운 오크, 아일라 피트가 잘 익은 복숭아와 어우러지는 우아함을 맛보세요."
Laphroaig 25,은은한 피트 연기와 꿀의 단맛이 빚어낸 우아한 실크 텍스처를 직접 경험해보세요.
Limavady Single Malt Irish Whiskey,"크리미한 질감 속에서 피어나는 꿀과 바닐라, 그리고 은은한 셰리 통의 너티함을 부드럽게 즐겨보세요."
Loch Lomond Original,"풋사과와 시트러스의 청량함, 그리고 몰트의 고소함이 가볍게 어우러져 누구나 편하게 즐기기 좋습니다."
Longrow Peated,"진득한 스모크와 크리미한 바닐라, 타르가 만들어내는 강렬한 피트의 매력에 빠져보세요."
Macallan 12 Sherry Oak,"말린 건포도와 생강 시럽, 진한 셰리감이 오크의 따뜻한 여운과 함께 어우러져 프리미엄 셰리의 기준이 무엇인지 확실히 보여줍니다."
Macallan 12 Year Old Double Cask,"크리미한 버터스카치와 꿀, 시나몬의 조화가 부드럽게 퍼져서 데일리로 이만한 게 없어요."
Macallan 12 Year Old Sherry Oak,말린 과일과 진한 오크의 풍미가 묵직하게 다가오는 정통 셰리의 클래식을 찾으신다면 바로 이거예요.
Macallan 15 Year Old Double Cask,"허니와 시트러스, 구운 사과가 두 가지 오크 캐스크를 만나 얼마나 조화로운 럭셔리를 보여주는지 직접 느껴보세요."
Macallan 18 Sherry Oak,"풍부한 건포도와 정향, 오렌지 껍질이 크리미하게 채워주는 대체 불가능한 셰리의 정석입니다."
Macallan 18 Year Old,말린 과일과 토피의 진한 셰리 오크 향에 건포도와 무화과의 꽉 찬 바디감이 더해져 셰리 위스키의 영원한 기준이 되어줍니다.
Macallan 18 Year Old Double Cask,구운 사과와 크리미한 바닐라 풍미 뒤로 미세한 건포도와 시나몬이 닿는 우아한 조화를 놓치지 마세요.
Macallan 18 Year Old Sherry Oak,말린 과일과 토피의 깊은 단맛에 오렌지 껍질과 향신료가 겹겹이 쌓이는 황홀한 정점을 경험해보세요.
Macallan 30 Year Old Sherry Oak,"입안을 채우는 꿀의 단맛과 진한 체리, 무화과가 30년 세월의 깊은 우드향과 만났을 때의 감동을 느껴보세요."
Macallan Enigma,건포도와 대추야자의 농후한 단맛에 묵직한 우디함이 밀려와 셰리의 진수를 보여줍니다.
Macallan Harmony Collection,진한 다크 초콜릿과 오렌지 제스트가 어우러지는 크리미한 디저트 같은 풍미를 꼭 경험해 보세요.
Makers Mark,자극 없이 부드럽게 감싸는 바닐라와 캐러멜의 단맛을 원하신다면 무조건 이겁니다.
Mars Tsunuki 2025 Edition,진한 오크 스파이스와 탄탄한 바디감에서 뿜어져 나오는 남성적인 매력이 아주 강렬해요.
Michter's US*1 Small Batch Bourbon,"풍부한 바닐라와 캐러멜 사이로 잘 익은 복숭아가 피어올라요, 흑설탕과 구운 옥수수의 달콤 쌉싸름함을 좋아하신다면 이보다 좋을 순 없어요."
Miraon Almost There,올로로소 셰리 표기와 달리 뻥튀기처럼 볶은 쌀 특유의 구수한 맛이 입안 가득 묵직하게 남아 아주 이색적인 매력을 선사합니다.
Miyagikyo Single Malt,사과와 배의 신선함에 셰리 뉘앙스의 과일 단맛이 얹어져 정말 부드럽게 넘어갑니다.
Monkey Shoulder,크리미한 바닐라 커스터드와 달콤한 과일 맛이 발랄하게 어우러져 누구나 기분 좋게 마시기 좋아요.
Mr. Boston Straight Bourbon,옥수수 푸딩과 바닐라의 직관적인 향이 감도는 가벼운 바디감이라 칵테일 베이스로 제격입니다.
Naked Malt,"풍부한 바닐라와 잘 익은 사과의 달콤함이 크리미한 질감으로 부드럽게 퍼져서, 셰리 위스키 입문하신다면 무조건 이거예요."
Nikka Frontier,바닐라의 단맛과 개성 있는 피트가 만나는 새로운 경계를 경험해보세요.
Nikka Miyagikyo Single Malt,청사과 같은 과실 향과 쌉싸름한 오크 터치가 어우러진 닛카의 화사한 매력에 다들 지갑을 여십니다.
Nikka Session,"화사한 사과와 바닐라 뒤로 은은한 피트가 스쳐서, 가볍게 즐기기 좋은 리드미컬한 하모니를 보여줘요."
Nikka Single Malt Miyagikyo,배의 달콤함과 밀크 초콜릿이 부드럽고 실키하게 입안을 감싸는 우아한 맛을 놓치지 마세요.
Nikka Single Malt Yoichi,피트 스모크와 짭조름한 해풍의 여운이 묵직하게 남는 이 남성적인 매력을 꼭 만나보세요.
Nikka Taketsuru Pure Malt,"과일 맛과 토피, 은은한 피트 스모크가 복합적으로 어우러지는 이 절묘한 조화를 맛보세요."
Nikka Yoichi Single Malt,"은은한 피트 스모크와 바닷가의 짭조름한 향이 훈연된 과일과 어우러져, 묵직하고 복합적인 몰트의 풍미를 제대로 보여줍니다."
Noah's Mill,높은 도수에서 뿜어져 나오는 진한 초콜릿과 시나몬의 폭발적인 스파이시함을 꼭 느껴보세요.
Octomore 14.1,강렬한 피트 연기 속에서 풋사과와 바닐라 커스터드의 단맛이 묵직하게 들이닥치는 압도적 경험입니다.
Old Parr 12 Year Old,"꿀에 절인 과일과 부드러운 캐러멜이 균형 있게 퍼져서, 클래식 블렌디드만의 포근한 품격을 느낄 수 있어요."
Omar Single Malt Bourbon Cask,"대만의 태양이 키워낸 망고와 바나나 같은 열대 과일 향이 입안 가득 폭발하는 순간, 지갑을 안 열 수가 없을 겁니다."
Penelope Four Grain,네 가지 곡물이 만들어낸 메이플 시럽의 크리미한 단맛과 호밀 스파이스의 균형을 꼭 한 번 경험해보세요.
Redbreast 12 Year Old,무화과와 셰리 오크의 풍부함에 톡 쏘는 스파이스가 더해진 아이리시 명작의 진수를 맛보세요.
Richard Hennessy,"가죽, 담배, 오크와 꿀의 향이 압도적으로 다가온 뒤, 꿀과 붉은 과일의 풍미가 벨벳처럼 퍼지는 궁극의 코낙이에요."
Royal Brackla 12 Year Old,잘 익은 복숭아와 따뜻한 시나몬 스파이스가 감싸는 우아하고 크리미한 텍스처를 느껴보세요.
Royal Salute 21,청사과와 꿀물의 부드러움 속에 옅은 메디시널 피트감이 살짝 감돌아 복합적인 레이어를 제대로 즐기고 싶을 때 제격입니다.
Russell's Reserve 10 Year Old,깊은 오크통과 묵직한 버터스카치가 만들어내는 진한 버번의 무게감을 그대로 느껴보세요.
Russell's Reserve 13 Year Old Barrel Proof (2025 Release),"진득한 메이플 시럽과 잘 익은 체리의 풍미가 압도적이라, 버번 마니아라면 지갑을 안 열 수 없을 거예요."
Russell's Reserve 6 Year Old Rye,진한 호밀의 풀 향과 알싸한 후추 스파이스가 혀를 감싸는 묵직한 호밀 위스키입니다.
Russell's Reserve Single Barrel,강렬한 바닐라와 버터스카치의 단맛이 묵직한 스파이스와 함께 55도의 도수로 대담하게 밀려오는 야성미를 느껴보세요.
Russell's Reserve Single Barrel Rye,진한 호밀의 스파이시함과 흑설탕의 단맛이 묵직하게 어우러지는 강렬한 타격을 즐겨보세요.
Sakurao Single Malt,오렌지 필의 상큼함 뒤로 피어오르는 화사한 벚꽃향이 매력적이라 가볍게 즐기기 딱 좋아요.
Scotch Blue 17 Year Old,"부드러운 캐러멜과 바닐라 향에 은은한 과일 향이 더해져, 자극적이지 않고 편안하게 즐기기 좋은 스카치 위스키입니다."
Scotch Blue 21 Year Old,"부드러운 바닐라와 꿀, 견과류의 단맛이 목 넘김을 편안하게 만들어줘서 매끄러운 프리미엄 위스키를 찾는다면 이거예요."
Signatory 2009 Speyside 16 Year Old,잘 익은 사과와 시럽에 절인 과일의 달콤함 뒤로 구운 오크가 잡아주는 밸런스가 기가 막힙니다.
Signatory Vintage Speyside (M) 2009 16 Year Old 100 Proof,다크 초콜릿과 무화과의 풍부한 단맛이 높은 도수와 만나 묵직하게 타격하는 맛이 일품이에요.
Singleton,구운 견과류와 갈색 설탕의 편안한 단맛이 입안을 부드럽게 감싸주니 누구나 부담 없이 즐기기 좋습니다.
Speyburn 10 Year Old,상큼한 레몬 시트러스와 꿀의 달콤함이 어우러져 산뜻하게 즐기기 좋은 스페이사이드입니다.
Speyburn Bourbon Cask,"신선한 청사과와 상큼한 시트러스, 그리고 크리미한 바닐라가 어우러지는 산뜻함을 좋아하신다면 무조건 마셔봐야 해요."
Speyburn Sherry Cask Finish,건포도와 다크 초콜릿의 달콤함이 지친 하루를 달래줄 가장 완벽한 선택이 될 겁니다.
Springbank (Unspecified),"은은한 피트와 흙내음 속에서 펼쳐지는 밀크초콜릿과 망고, 짭조름한 여운을 놓치지 마세요."
Springbank 10 Year Old,"입안을 감도는 묵직한 오일 감성과 짭조름한 해풍, 은은한 피트의 조합은 캠벨타운에서만 느낄 수 있습니다."
Springbank 15 Year Old,다크 초콜릿과 무화과 단맛 뒤로 밀려오는 짭조름한 해풍의 밸런스가 이 위스키의 진짜 매력입니다.
Springbank 18 Year Old,오렌지 마말레이드와 다크 초콜릿의 단맛 뒤로 터지는 짭조름한 바다 내음과 스파이스의 조화는 절대 놓치지 마세요.
Starward Solera,"잘 익은 베리류와 무화과, 진한 캐러멜이 어우러진 와인 캐스크 특유의 부드럽고 달콤한 과일 향을 경험해보세요."
Suntory Kakubin,달콤한 바닐라와 꿀 풍미에 가벼운 스모크가 어우러져 산뜻하게 즐기기 이만한 게 없어요.
Suntory Old,은은한 바닐라와 고소한 곡물 맛이 가볍고 조화롭게 떨어져서 부담 없이 즐기는 클래식으로 제격이에요.
Suntory Old Whisky,"은은한 피트 스모크와 꿀, 간장의 짭조름한 조화가 매력적인 클래식한 맛을 느껴보세요."
Suntory Special Reserve,부드러운 곡물 단맛과 은은한 오크 향으로 편안하게 즐기기 이만한 게 없어요.
Suntory Sui Gin,유자의 상큼한 시트러스와 생강의 알싸함이 녹차의 깔끔함과 만나 식사와 곁들이기 제격입니다.
Suntory Whisky,은은한 사과와 꿀의 달콤함이 가볍게 감돌아 누구나 편하게 마시기 좋은 일본 블렌디드의 기준입니다.
Suntory Yamazaki Single Malt Non Vintage,"붉은 과일의 향과 미즈나라 오크의 백단향이 라즈베리, 복숭아의 상큼함과 산뜻한 스파이스로 이어지는 일본 위스키의 정수예요."
Talisker 10 Year Old,"강렬한 피트 스모크와 짭조름한 바다 향, 흑후추의 스파이시함이 폭발하는 이 매력에 한 번 빠지면 헤어나기 힘들어요."
Talisker 18 Year Old,"과일 향과 짭조름한 해풍, 토피의 달콤함 뒤로 감기는 백후추 같은 스파이시함이 우아함의 극치를 보여줍니다."
Talisker Distillers Edition,강렬한 스모크와 해풍의 짭조름함에 아모로소 셰리의 달콤한 건포도가 더해진 거친 바다의 맛을 즐겨보세요.
Talisker Port Ruighe,"포트 와인 캐스크의 진한 자두와 베리류의 달콤함이 거친 스모크, 해풍과 만나 얼마나 강렬해지는지 꼭 맛보세요."
Talisker Storm,"짭조름한 바닷바람과 강렬한 후추의 스파이스, 거친 스모크를 좋아하신다면 무조건 이겁니다."
Tamdhu 18 Year Old,"체리와 자두의 단맛이 벨벳 같은 질감으로 퍼져서, 100% 셰리 캐스크의 진수를 찾으신다면 무조건 이거예요."
Tamnavulin,"복숭아 통조림과 꿀, 바닐라 토피로 시작해 흑설탕으로 깔끔하게 떨어지는 데일리 위스키입니다."
Tamnavulin Double Cask,"배 타르트의 달콤함과 크리미한 바닐라, 그리고 은은한 계피의 조화를 맛보면 두 가지 캐스크의 매력에 푹 빠지게 됩니다."
Tamnavulin German Pinot Noir Cask Finish,잘 익은 딸기와 체리의 붉은 과일 향이 포근하게 피어올라 베리류의 매력을 제대로 느낄 수 있어요.
Tamnavulin Oloroso Cask Edition,흑설탕과 메이플 시럽의 진한 단맛에 계피와 생강의 따뜻한 스파이스가 더해진 최고의 셰리 가성비입니다.
Tamnavulin Sauvignon Blanc Cask Finish,청사과와 백포도주의 산뜻한 산미에 크리미한 바닐라가 겹쳐지는 이색적인 상큼함을 느껴보세요.
Tamnavulin Sherry Cask Finish,진한 건포도와 초콜릿의 달콤함을 이 가격에 즐길 수 있는 셰리 위스키는 드뭅니다.
Teacher's Highland Cream,높은 몰트 함량에서 오는 진한 곡물 풍미와 은은한 피트 스모크의 조화가 아주 개성 있는 블렌디드입니다.
Teeling Single Grain,"옥수수의 부드러운 단맛과 베리류, 오크 스파이스가 어우러져 기분 좋은 드라이한 여운을 남기는 싱글 그레인입니다."
Teeling Small Batch,럼 배럴 숙성 특유의 열대 과일 풍미와 크리미한 단맛이 부드럽게 퍼져 입문자에게도 강력하게 추천합니다.
The Dalmore 12 Year Old,"구운 감귤류와 시나몬, 진한 셰리의 단맛이 묵직하게 다가와 왕실의 품격이 무엇인지 제대로 보여줘요."
The Dalmore 17 Year Old,초콜릿과 오렌지 마멀레이드의 화려한 풍미가 럭셔리하게 펼쳐져서 한 모금만으로도 반하실 거예요.
The Glen Grant 12 Year Old,사과 타르트 같은 달콤함과 시트러스의 경쾌한 상큼함이 어우러져 아주 순수한 본질을 보여줍니다.
The Glen Grant 15 Year Old,살구와 같은 핵과류의 달콤함과 견과류의 고소함이 50도 도수와 맞물려 완벽한 밸류를 뽐내요.
The Glen Grant 18 Year Old,말린 과일과 건포도의 진한 맛이 벨벳 같은 바디감과 함께 길고 따뜻한 여운을 선물해 줍니다.
The Glenlee,사과와 배의 은은한 과일 향에 부드러운 맥아의 단맛이 자극 없이 순하게 퍼져서 부담 없이 즐기는 데일리로 이만한 게 없어요.
The Glenlivet 12 Year Old,달콤한 복숭아와 배 껍질 같은 화사한 과일 풍미가 매끈하게 이어져 처음 위스키를 접하는 분들도 부담 없이 즐기기 좋습니다.
The Glenlivet 12 Year Old 200th Anniversary Edition,"풍부한 과일 샐러드와 크리미한 토피가 부드럽게 감돌아서, 200년 전통의 스페이사이드 원조를 고스란히 느낄 수 있어요."
The Glenlivet 13 Year Old Cask Strength Batch 4,63도의 높은 도수에서 터져 나오는 꿀에 절인 과일과 구운 코코넛의 묵직한 바디감을 꼭 경험해보세요.
The Glenlivet 15 Year Old,프렌치 오크가 선사하는 크리미한 질감 속에서 달콤한 꿀과 망고 같은 열대과일의 풍미를 느껴보세요.
The Glenlivet 18 Year Old,잘 익은 사과향에 오렌지 껍질의 시트러스함이 겹겹이 쌓여 클래식의 정수를 보여줍니다.
The Glenturret 12 Year Old (2024 Release),"잘 익은 건포도와 사과, 묵직한 향신료가 크리미하게 어우러지는 밸런스를 놓치지 마세요."
The Glenturret 12 Year Old (2025 Release),"과일 케이크의 달콤함과 생강, 계피의 따뜻한 향신료가 묵직하게 채워주는 이 깊이감을 꼭 경험해보세요."
The Singleton 15 Year Old,실크처럼 부드러운 질감에 버터스카치의 단맛이 더해져 누구나 편하게 즐기기 좋은 병이에요.
The Singleton of Dufftown 15 Year Old,"구운 너트와 오렌지 마말레이드의 부드러운 우디함이 편안하게 다가와요, 버터스카치와 멜론의 단맛을 좋아하신다면 무조건 마셔봐야 합니다."
The Talisman,가벼운 시트러스와 곡물 단맛이 어우러져 부담 없이 마시기 딱 좋은 데일리 블렌디드를 찾으신다면 이거예요.
The Whistler P.X. I Love You,진한 건포도와 흑설탕의 꾸덕한 단맛이 묵직하고 리치하게 다가오는 이 셰리의 진수를 절대 놓치지 마세요.
Togouchi Single Malt,풋사과와 바닐라의 부드러움 뒤에 이어지는 은은한 스파이시함을 원하신다면 이 일본 터널 숙성 위스키를 놓치지 마세요.
Tomintoul 10 Year Old,꿀과 바닐라의 달콤함에 신선한 사과 풍미가 더해져 부담 없이 편안한 휴식을 주는 스페이사이드입니다.
Tsunuki 2026 Edition,다크 체리와 훈연된 허브가 빚어내는 스모키한 여운을 좋아하신다면 이 묵직한 50도 짜리를 놓치지 마세요.
White Horse,푸른 사과와 꿀의 단맛 뒤로 가볍게 스치는 산뜻하고 깔끔한 피트 스모크를 가볍게 즐겨보세요.
White Oak Akashi Red,풋사과와 바닐라의 가벼운 단맛이 부드러운 목넘김으로 이어지는 깔끔한 매력을 느껴보세요.
Wild Turkey 101,카라멜과 바닐라의 묵직한 단맛 위로 화끈한 후추와 시나몬 스파이스가 터져 나와 버번 특유의 매력을 확실하게 보여줍니다.
Willett Family Estate Small Batch Rye,민트와 유칼립투스의 상쾌함 뒤로 이어지는 강렬한 호밀 스파이시함의 환상적인 밸런스를 놓치지 마세요.
Woodford Reserve Double Oaked,두 번 구운 오크통이 선사하는 진한 캐러멜과 다크 초콜릿의 단맛을 좋아하신다면 무조건 마셔봐야 합니다.
Woodford Reserve Straight Bourbon,바닐라와 달콤한 옥수수를 바탕으로 달고나와 견과류가 다가오는 프리미엄 버번의 기준을 경험해보세요.
Yamazaki 12 Year Old,버터 바른 그레이엄 크래커와 허니듀 멜론의 편안한 향 뒤로 오렌지맛 캔디 같은 단맛이 은은하게 퍼져 완벽한 밸런스를 보여줍니다.
Yamazaki 18 Year Old Mizunara,향나무와 백단향의 깊은 아로마에 복숭아와 꿀의 단맛이 고급스럽게 어우러지는 이 미즈나라의 걸작은 기회가 왔을 때 잡아야 합니다.
Yamazaki Distiller's Reserve,라즈베리와 백도의 상큼한 과일향에 미즈나라 오크 스파이스가 더해져 재패니즈 위스키의 매력을 고스란히 담아냈습니다.
Yamazaki Distillery Exclusive,붉은 과일과 미즈나라 오크의 향나무 조합이 만들어내는 이 깊은 균형감은 증류소 한정판에서만 느낄 수 있어요.
